Gene	Type	# condition specific	# condition up	# condition down	Condition up	Condition down	Gene_page
Ljwgs_026840.1.1_at	S	6	2	4	Root,Root0h	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_026901.2_at	S	3	3	0	Root,Root0h,Nod21	-	NA
Ljwgs_027010.1_at	S	5	0	5	-	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	NA
Ljwgs_027208.1_at	S	1	1	0	Nod21	-	NA
Ljwgs_027769.1_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_028761.1_s_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_029365.1_s_at	S	3	3	0	Root,Root0h,Nod21	-	NA
Ljwgs_030467.2_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_030576.1_at	S	2	2	0	Root,Root0h	-	NA
Ljwgs_030735.1_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_031342.1_s_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_031632.1_at	S	7	7	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,WT_rootSZ_3w_Nod_inocul1,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
Ljwgs_032478.0.1_at	S	3	3	0	Root,Root0h,Nod21	-	NA
Ljwgs_032756.2_at	S	3	3	0	Root,Root0h,Nod21	-	NA
Ljwgs_032978.1_at	S	2	2	0	Root,Root0h	-	NA
Ljwgs_034015.1_at	S	3	3	0	Root,Root0h,Nod21	-	NA
Ljwgs_034705.2_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_035265.1_at	S	6	6	0	root_28dpimycorrhized,WT_nodule_3w_inocul14,cyclops_root_nodule_3w_inocul21_mean,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
Ljwgs_036019.1_at	S	8	6	2	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	WT_root_tip_3w_uninocul,WT_rootSZ_3w_Nod_inocul1	NA
Ljwgs_036123.1_at	S	2	2	0	Root,Root0h	-	NA
Ljwgs_036132.1_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_038315.0.1_at	S	3	0	3	-	root_4dpicontrol,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_038349.1_s_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_038906.1_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_039076.1_s_at	S	7	7	0	root_28dpimycorrhized,WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
Ljwgs_040145.1_at	S	1	1	0	root_28dpimycorrhized	-	NA
Ljwgs_040148.1_s_at	S	7	7	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,cyclops_root_3w_inocul_mean,Nod21	-	NA
Ljwgs_040352.1.1_s_at	S	2	2	0	Root,Root0h	-	NA
Ljwgs_040896.2_s_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_041824.1_at	S	1	1	0	root_28dpimycorrhized	-	NA
Ljwgs_041877.1_s_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_042079.1_at	S	1	1	0	Nod21	-	NA
Ljwgs_043129.1_s_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_045106.0.2_s_at	S	6	6	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
Ljwgs_047343.1.1_at	S	8	8	0	root_28dpimycorrhized,har1_root_3w_inocul3,WT_root_3w_inocul3,WT_root_nodule_3w_inocul7,WT_root_nodule_3w_inocul21,WT_rootSZ_3w_Nod_inocul1,WT_rootSZ_3w_inocul1,nin_rootSZ_3w_inocul1	-	NA
Ljwgs_047385.1_at	S	7	7	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,WT_rootSZ_3w_inocul1,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
Ljwgs_047519.2_at	S	3	3	0	Root,Root0h,Nod21	-	NA
Ljwgs_047780.1_s_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_048187.1_at	S	3	0	3	-	Root,Root0h,Nod21	NA
Ljwgs_048568.1_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_049490.1_at	S	5	0	5	-	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	NA
Ljwgs_049993.0.1_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_050665.1_at	S	1	1	0	Nod21	-	NA
Ljwgs_051727.2_at	S	6	6	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
Ljwgs_052417.1_at	S	1	1	0	root_28dpimycorrhized	-	NA
Ljwgs_052894.1_at	S	1	1	0	Root	-	NA
Ljwgs_052942.1_s_at	S	5	0	5	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized,WT_rootSZ_3w_Nod_inocul1	NA
Ljwgs_054147.1_at	S	1	1	0	Nod21	-	NA
Ljwgs_054644.1_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_055515.1_s_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_055945.1_at	S	2	2	0	Root,Root0h	-	NA
Ljwgs_056178.1_at	S	5	5	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
Ljwgs_056560.1_s_at	S	1	1	0	Nod21	-	NA
Ljwgs_057146.1_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_057413.1.1_x_at	S	6	6	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
Ljwgs_057589.1_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_058753.1.1_at	S	1	1	0	WT_root_3w_nodC_inocul1	-	NA
Ljwgs_059578.1_at	S	3	3	0	Root,Root0h,Nod21	-	NA
Ljwgs_060220.1_x_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_060603.2_at	S	3	0	3	-	Root,Root0h,Nod21	NA
Ljwgs_061122.1_at	S	3	3	0	Root,Root0h,Nod21	-	NA
Ljwgs_062020.2_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_062290.2_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_063471.1_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_064584.1_at	S	2	0	2	-	Root,Root0h	NA
Ljwgs_065008.0.1_at	S	1	1	0	Nod21	-	NA
Ljwgs_065424.1.1_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_065900.1_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_067102.2_at	S	1	1	0	Root0h	-	NA
Ljwgs_068410.2_s_at	S	6	6	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
Ljwgs_068749.1_at	S	6	6	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
Ljwgs_068754.2_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_069846.2_at	S	1	1	0	Nod21	-	NA
Ljwgs_069889.1.1_at	S	1	1	0	Nod21	-	NA
Ljwgs_070006.1_s_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_071490.1_at	S	1	0	1	-	Nod21	NA
Ljwgs_072428.2_at	S	1	1	0	WT_rootSZ_3w_Nod_inocul1	-	NA
Ljwgs_073377.1_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_075101.1_s_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_076115.2_at	S	1	1	0	Root0h	-	NA
Ljwgs_076349.1_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_077028.1_at	S	1	1	0	Nod21	-	NA
Ljwgs_077750.1.1_at	S	5	0	5	-	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	NA
Ljwgs_078463.1_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_078666.1_at	S	2	2	0	Root,Root0h	-	NA
Ljwgs_083867.1_s_at	S	6	6	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
Ljwgs_084071.2_at	S	1	0	1	-	WT_rootSZ_3w_Nod_inocul1	NA
Ljwgs_084449.1_s_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_085067.1_x_at	S	1	1	0	root_28dpimycorrhized	-	NA
Ljwgs_087207.1_x_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_087528.1_at	S	1	1	0	root_28dpimycorrhized	-	NA
Ljwgs_088446.1_at	S	3	3	0	Root,Root0h,Nod21	-	NA
Ljwgs_090591.1.1_s_at	S	3	0	3	-	Root,Root0h,Nod21	NA
Ljwgs_090974.1_at	S	3	3	0	Root,Root0h,Nod21	-	NA
Ljwgs_092498.1_at	S	2	2	0	Root,Root0h	-	NA
Ljwgs_095176.1_at	S	11	11	0	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized,WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,WT_root_nodule_3w_inocul21,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
Ljwgs_095667.1_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_096059.1_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_096493.1_s_at	S	3	0	3	-	Root,Root0h,Nod21	NA
Ljwgs_098322.1_at	S	3	0	3	-	Root,Root0h,Nod21	NA
Ljwgs_098483.1_s_at	S	3	0	3	-	WT_root_tip_3w_uninocul,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21	NA
Ljwgs_100774.1.1_s_at	S	1	0	1	-	Nod21	NA
Ljwgs_101257.1_at	S	1	0	1	-	WT_rootSZ_3w_Nod_inocul1	NA
Ljwgs_103502.1.1_x_at	S	1	1	0	WT_rootSZ_3w_Nod_inocul1	-	NA
Ljwgs_103858.1_at	S	1	0	1	-	WT_root_tip_3w_uninocul	NA
Ljwgs_104495.1_at	S	1	1	0	Nod21	-	NA
Ljwgs_105045.1_s_at	S	5	5	0	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized,WT_rootSZ_3w_Nod_inocul1	-	NA
Ljwgs_105063.1.1_x_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_106154.1_at	S	2	2	0	Root,Root0h	-	NA
Ljwgs_108080.1_s_at	S	1	1	0	root_28dpimycorrhized	-	NA
Ljwgs_110147.1_s_at	S	3	3	0	Root,Root0h,Nod21	-	NA
Ljwgs_113526.1_s_at	S	8	8	0	root_28dpimycorrhized,WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,WT_root_nodule_3w_inocul21,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
Ljwgs_113851.1.1_at	S	6	6	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
Ljwgs_115914.1_at	S	5	5	0	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized,WT_rootSZ_3w_Nod_inocul1	-	NA
Ljwgs_116234.1_s_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_116235.1_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_116235.1_x_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_116565.1_s_at	S	1	1	0	sen1_nodule_3w_inocul21	-	NA
Ljwgs_117371.1_x_at	S	7	5	2	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized,WT_rootSZ_3w_Nod_inocul1	Root,Root0h	NA
Ljwgs_117470.2_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_123433.1_s_at	S	3	3	0	Root,Root0h,Nod21	-	NA
Ljwgs_123763.1_at	S	5	5	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
Ljwgs_129979.1_s_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_130412.1_at	S	1	1	0	Nod21	-	NA
Ljwgs_132529.1_at	S	1	1	0	WT_root_3w_nodC_inocul1	-	NA
Ljwgs_134195.1_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
Ljwgs_134727.1_at	S	6	6	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
Ljwgs_135129.1_at	S	4	4	0	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	-	NA
Ljwgs_136836.1_at	S	5	0	5	-	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	NA
Ljwgs_138351.1_at	S	3	3	0	Root,Root0h,Nod21	-	NA
Ljwgs_138806.1_x_at	S	4	4	0	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	-	NA
Ljwgs_141695.1_s_at	S	4	4	0	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	-	NA
Ljwgs_141991.1_at	S	1	1	0	root_28dpimycorrhized	-	NA
Ljwgs_143582.1_at	S	1	1	0	Nod21	-	NA
Ljwgs_144517.1_at	S	1	1	0	Root0h	-	NA
Ljwgs_146926.1.1_at	S	3	0	3	-	Root,Root0h,Nod21	NA
Ljwgs_147549.1_at	S	2	2	0	Root,Root0h	-	NA
mll4266_at	S	2	2	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21	-	NA
mll6211_at	S	1	1	0	Nod21	-	NA
mll8202_s_at	S	10	10	0	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized,WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
mlr4574_at	S	3	3	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,Nod21	-	NA
mlr5805_s_at	S	6	6	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
mlr5945_at	S	1	1	0	Nod21	-	NA
TC10035_at	S	7	7	0	root_4dpicontrol,WT_root_6w_5mM_nitrate,WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21	-	NA
TC11332_at	S	5	0	5	-	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	NA
TC12134_at	S	3	3	0	Root,Root0h,Nod21	-	NA
TC14583_at	S	3	3	0	Root,Root0h,Nod21	-	NA
TC14912_at	S	1	0	1	-	WT_rootSZ_3w_Nod_inocul1	NA
TC18152_at	S	6	6	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
TC18872_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
TC18978_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
TC19241_at	S	1	0	1	-	Nod21	NA
TC19366_at	S	3	0	3	-	Root,Root0h,Nod21	NA
TC9239_at	S	9	9	0	har1_root_3w_inocul3,WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,WT_root_nodule_3w_inocul21,cyclops_root_3w_uninocul_mean,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
TC9400_at	S	3	3	0	Root,Root0h,Nod21	-	NA
TC9637_at	S	3	0	3	-	Root,Root0h,Nod21	NA
TM0286.8_at	S	3	0	3	-	Root,Root0h,Nod21	NA
TM0374.17_s_at	S	7	7	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,WT_root_nodule_3w_inocul21,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
TM0446.19_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
TM0448.2_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
TM0536.22.1_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
TM0639.10.1_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
TM0727.10_at	S	1	0	1	-	WT_rootSZ_3w_Nod_inocul1	NA
TM0840.1_at	S	3	0	3	-	Root,Root0h,Nod21	NA
TM0890.19.1_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
TM0954.8_at	S	6	6	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
TM0990.26_at	S	5	0	5	-	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	NA
TM1130.29_at	S	6	6	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
TM1201.16_at	S	3	3	0	Root,Root0h,Nod21	-	NA
TM1237.45_at	S	6	6	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
TM1513.5_at	S	7	7	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,WT_root_nodule_3w_inocul21,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
TM1515.11_at	S	7	7	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,WT_root_nodule_3w_inocul21,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
TM1519.31_s_at	S	2	2	0	sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21	-	NA
TM1555.25_at	S	2	2	0	Root,Root0h	-	NA
TM1614.14.1_at	S	6	6	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
TM1664.15.1_at	S	4	0	4	-	root_4dpicontrol,root_4dpimycorrhized,root_28dpicontrol,root_28dpimycorrhized	NA
TM1678.3_s_at	S	3	0	3	-	Root,Root0h,Nod21	NA
TM1680.21_at	S	7	7	0	WT_nodule_3w_inocul14,WT_nodule_3w_inocul21,WT_root_nodule_3w_inocul7,WT_root_nodule_3w_inocul21,sen1_nodule_3w_inocul21,sst1_nodule_3w_inocul21,Nod21	-	NA
TM1746.11.1_s_at	S	1	0	1	-	WT_rootSZ_3w_Nod_inocul1	NA
